year,party,share_words_pct
1999,SP,29.432836106421544
2000,SP,30.626971873531584
2001,SP,29.329873115922943
2002,SP,28.437599465111983
2003,SP,27.29600066893594
2004,SP,30.358129911518578
2005,SP,29.012465765610052
2006,SP,31.012035604521632
2007,SP,28.074175284496082
2008,SP,27.060905305380928
2009,SP,27.12065649159229
2010,SP,25.250029884049884
2011,SP,27.443277704856555
2012,SP,26.433567177506813
2013,SP,27.19452549495206
2014,SP,26.908944769778394
2015,SP,27.66938703306684
2016,SP,25.02472641529704
2017,SP,23.924288237447055
2018,SP,25.971163859245056
2019,SP,25.834156639494882
2020,SP,23.316576624933354
2021,SP,22.201694445968954
2022,SP,21.942943346176403
2023,SP,21.040423927203626
2024,SP,21.203081221946967
2025,SP,21.54946285608682
1999,Grüne,5.911723491460737
2000,Grüne,8.930753075882967
2001,Grüne,7.6715879906104085
2002,Grüne,8.871384922401026
2003,Grüne,8.107433899025514
2004,Grüne,10.82618961959466
2005,Grüne,12.12080011744737
2006,Grüne,11.311413093076347
2007,Grüne,11.478503320185986
2008,Grüne,12.068639883441708
2009,Grüne,11.611815134855116
2010,Grüne,12.933198500164188
2011,Grüne,12.068254265891618
2012,Grüne,12.130375606801362
2013,Grüne,10.365041282300437
2014,Grüne,10.28109635799956
2015,Grüne,10.480385374972277
2016,Grüne,8.997018968123543
2017,Grüne,11.322290579235835
2018,Grüne,10.013241825022263
2019,Grüne,10.627632836560586
2020,Grüne,15.082902982389209
2021,Grüne,16.02070975814155
2022,Grüne,17.792353350615755
2023,Grüne,18.310755879443253
2024,Grüne,19.457452481399514
2025,Grüne,16.753658233441072
1999,GLP,0.0
2000,GLP,0.0
2001,GLP,0.0
2002,GLP,0.0
2003,GLP,0.0
2004,GLP,0.0
2005,GLP,0.0
2006,GLP,0.0
2007,GLP,0.04556903233721668
2008,GLP,1.642398678526353
2009,GLP,1.3327438879118896
2010,GLP,1.6872465866919113
2011,GLP,2.3087019861818288
2012,GLP,5.327883839884893
2013,GLP,6.330808068871585
2014,GLP,7.83587250388835
2015,GLP,8.400176370568294
2016,GLP,7.287344164669955
2017,GLP,6.171038663813593
2018,GLP,5.607398017642231
2019,GLP,6.572461132976549
2020,GLP,9.015526331941688
2021,GLP,8.716548751858445
2022,GLP,8.672770321003624
2023,GLP,9.048024840096774
2024,GLP,7.621526933995232
2025,GLP,7.502054675517443
1999,Mitte,14.739852601473984
2000,Mitte,17.460754322538573
2001,Mitte,19.79509113510422
2002,Mitte,16.523732247926866
2003,Mitte,16.144838566944113
2004,Mitte,16.610013191575586
2005,Mitte,17.262232353424018
2006,Mitte,16.475390928995754
2007,Mitte,16.33518360157476
2008,Mitte,17.046275560831855
2009,Mitte,17.82682898487501
2010,Mitte,15.83250093087098
2011,Mitte,14.92730314875449
2012,Mitte,18.03558926138619
2013,Mitte,17.24382656234279
2014,Mitte,19.47051900332989
2015,Mitte,17.91111768246961
2016,Mitte,19.804281845786182
2017,Mitte,19.670190486748847
2018,Mitte,19.750986972828876
2019,Mitte,18.759409021719193
2020,Mitte,14.746224324867525
2021,Mitte,15.49698424630207
2022,Mitte,15.599052389851966
2023,Mitte,15.90099223257226
2024,Mitte,14.926388695888487
2025,Mitte,14.722669236610772
1999,FDP,31.177036055726397
2000,FDP,26.353148764372502
2001,FDP,28.060182864844812
2002,FDP,31.482262750788394
2003,FDP,31.48033432860781
2004,FDP,21.713236925935576
2005,FDP,23.846083195262764
2006,FDP,22.54450026264335
2007,FDP,21.284462493546215
2008,FDP,17.833298857500893
2009,FDP,16.7335635286488
2010,FDP,19.353185502319963
2011,FDP,18.816368330712976
2012,FDP,18.36172109843596
2013,FDP,18.092296514081628
2014,FDP,16.889202914435433
2015,FDP,15.273942040618035
2016,FDP,18.43706876057414
2017,FDP,17.17942020225644
2018,FDP,16.451843557917393
2019,FDP,18.299601916721105
2020,FDP,18.350280595635393
2021,FDP,15.872095783864715
2022,FDP,16.116360387813152
2023,FDP,16.680412303814496
2024,FDP,15.366201434919011
2025,FDP,15.734942628514014
1999,SVP,18.738551744917334
2000,SVP,16.628371963674375
2001,SVP,15.143264893517614
2002,SVP,14.68502061377173
2003,SVP,16.971392536486622
2004,SVP,20.492430351375603
2005,SVP,17.7584185682558
2006,SVP,18.656660110762914
2007,SVP,22.78210626785974
2008,SVP,24.34848171431826
2009,SVP,25.374391972116893
2010,SVP,24.943838595903067
2011,SVP,24.436094563602534
2012,SVP,19.71086301598478
2013,SVP,20.773502077451496
2014,SVP,18.614364450568377
2015,SVP,20.26499149830494
2016,SVP,20.449559845549143
2017,SVP,21.73277183049823
2018,SVP,22.20536576734418
2019,SVP,19.906738452527684
2020,SVP,19.48848914023283
2021,SVP,21.691967013864264
2022,SVP,19.8765202045391
2023,SVP,19.019390816869585
2024,SVP,21.42534923185079
2025,SVP,23.73721236982988
