year,chamber,share_emotion_pct
1999,National Council,20.45929018789144
1999,Council of States,3.5211267605633805
2000,National Council,16.446307642695903
2000,Council of States,9.048178613396004
2001,National Council,20.11400651465798
2001,Council of States,10.659599528857479
2002,National Council,16.751381215469614
2002,Council of States,7.064980375054514
2003,National Council,15.765472312703583
2003,Council of States,7.2105480016481245
2004,National Council,15.882712278558339
2004,Council of States,8.56989823245849
2005,National Council,15.158870255957634
2005,Council of States,8.488278092158447
2006,National Council,14.250994255413168
2006,Council of States,6.8137061835368256
2007,National Council,17.489986648865152
2007,Council of States,6.991869918699186
2008,National Council,17.327526931010773
2008,Council of States,8.682782437099162
2009,National Council,18.480492813141684
2009,Council of States,10.11485735457577
2010,National Council,18.048377093239612
2010,Council of States,9.407305306685044
2011,National Council,16.16294349540079
2011,Council of States,9.61369622475856
2012,National Council,16.16138591292455
2012,Council of States,9.369287020109688
2013,National Council,17.818097231914397
2013,Council of States,10.40650406504065
2014,National Council,16.849736379613354
2014,Council of States,8.828911253430924
2015,National Council,18.40518204154568
2015,Council of States,8.590604026845638
2016,National Council,18.120366332315744
2016,Council of States,8.743169398907105
2017,National Council,19.70344307614979
2017,Council of States,9.764309764309765
2018,National Council,23.043478260869566
2018,Council of States,11.32665832290363
2019,National Council,21.48269506450952
2019,Council of States,10.450250138966092
2020,National Council,21.46470200131955
2020,Council of States,10.618606916707257
2021,National Council,21.086855550394798
2021,Council of States,8.09567617295308
2022,National Council,22.713306546915625
2022,Council of States,8.806963645673322
2023,National Council,20.603907637655418
2023,Council of States,11.352169525731584
2024,National Council,22.111207645525628
2024,Council of States,9.964570416297608
2025,National Council,26.462627524463876
2025,Council of States,13.881151346332404
