year,party,sadness_share_pct
1999,FDP,0.0
1999,Grüne,0.0
1999,Mitte,0.0
1999,SP,0.0
1999,SVP,0.0
2000,FDP,0.0
2000,Grüne,0.4273504273504274
2000,Mitte,0.1779359430604982
2000,SP,0.24813895781637718
2000,SVP,0.3740648379052369
2001,FDP,0.0
2001,Grüne,0.8
2001,Mitte,0.234192037470726
2001,SP,0.2849002849002849
2001,SVP,0.3502626970227671
2002,FDP,0.14316392269148173
2002,Grüne,0.5780346820809248
2002,Mitte,0.0
2002,SP,0.36656891495601174
2002,SVP,0.13679890560875513
2003,FDP,0.12738853503184713
2003,Grüne,0.0
2003,Mitte,0.4792332268370607
2003,SP,0.0931098696461825
2003,SVP,0.0
2004,FDP,0.10559662090813093
2004,Grüne,0.20964360587002098
2004,Mitte,0.12300123001230012
2004,SP,0.3105590062111801
2004,SVP,0.21645021645021645
2005,FDP,0.09910802775024777
2005,Grüne,0.4140786749482402
2005,Mitte,0.21436227224008575
2005,SP,0.0
2005,SVP,0.0
2006,FDP,0.09569377990430622
2006,Grüne,0.0
2006,Mitte,0.0
2006,SP,0.3926701570680628
2006,SVP,0.0
2007,FDP,0.641025641025641
2007,GLP,0.0
2007,Grüne,0.0
2007,Mitte,0.1594896331738437
2007,SP,0.0
2007,SVP,0.17777777777777778
2008,FDP,0.15037593984962408
2008,GLP,0.0
2008,Grüne,0.0
2008,Mitte,0.0
2008,SP,0.0
2008,SVP,0.2883922134102379
2009,FDP,0.0
2009,GLP,0.0
2009,Grüne,0.1694915254237288
2009,Mitte,0.8115419296663661
2009,SP,0.1444043321299639
2009,SVP,0.06920415224913494
2010,FDP,0.0
2010,GLP,0.0
2010,Grüne,0.33726812816188867
2010,Mitte,0.0
2010,SP,0.1469507714915503
2010,SVP,0.07980845969672785
2011,FDP,0.2188183807439825
2011,GLP,0.0
2011,Grüne,0.0
2011,Mitte,0.0
2011,SP,0.17064846416382254
2011,SVP,0.2411575562700965
2012,FDP,0.0
2012,GLP,0.0
2012,Grüne,0.18587360594795538
2012,Mitte,0.14204545454545456
2012,SP,0.26785714285714285
2012,SVP,0.8434864104967198
2013,FDP,0.0
2013,GLP,0.0
2013,Grüne,1.0183299389002036
2013,Mitte,0.2801120448179272
2013,SP,0.2744739249771272
2013,SVP,0.28355387523629494
2014,FDP,0.0
2014,GLP,0.0
2014,Grüne,0.0
2014,Mitte,0.5988023952095809
2014,SP,0.36330608537693004
2014,SVP,0.09115770282588878
2015,FDP,0.31545741324921134
2015,GLP,0.0
2015,Grüne,0.0
2015,Mitte,0.0
2015,SP,0.4340277777777778
2015,SVP,0.0859106529209622
2016,FDP,0.5361930294906166
2016,GLP,0.32573289902280134
2016,Grüne,0.0
2016,Mitte,0.0
2016,SP,0.271985494106981
2016,SVP,0.08
2017,FDP,0.17152658662092624
2017,GLP,0.0
2017,Grüne,0.25316455696202533
2017,Mitte,0.0
2017,SP,0.42462845010615713
2017,SVP,0.08525149190110827
2018,FDP,0.30120481927710846
2018,GLP,0.0
2018,Grüne,0.273224043715847
2018,Mitte,0.6459948320413437
2018,SP,0.4557885141294439
2018,SVP,0.0
2019,FDP,0.1282051282051282
2019,GLP,0.0
2019,Grüne,0.205761316872428
2019,Mitte,0.24271844660194172
2019,SP,0.4006410256410256
2019,SVP,0.08090614886731393
2020,FDP,0.5457025920873124
2020,GLP,0.2583979328165375
2020,Grüne,0.31007751937984496
2020,Mitte,0.0
2020,SP,0.3875968992248062
2020,SVP,0.17921146953405018
2021,FDP,0.16863406408094433
2021,GLP,0.28169014084507044
2021,Grüne,0.16051364365971107
2021,Mitte,0.16
2021,SP,0.10905125408942204
2021,SVP,0.2514668901927913
2022,FDP,0.0
2022,GLP,0.3067484662576687
2022,Grüne,0.5979073243647235
2022,Mitte,0.0
2022,SP,0.34285714285714286
2022,SVP,0.17667844522968199
2023,FDP,0.0
2023,GLP,0.0
2023,Grüne,0.13793103448275862
2023,Mitte,0.4444444444444444
2023,SP,0.33707865168539325
2023,SVP,0.08503401360544217
2024,FDP,0.17825311942959002
2024,GLP,0.3597122302158274
2024,Grüne,0.5063291139240507
2024,Mitte,0.1620745542949757
2024,SP,0.4016064257028112
2024,SVP,0.22026431718061676
2025,FDP,0.778816199376947
2025,GLP,0.6451612903225806
2025,Grüne,0.13458950201884254
2025,Mitte,0.2936857562408223
2025,SP,0.8458646616541353
2025,SVP,0.0
