CAP_Topic,early_pct,late_pct,delta_pp
Macroeconomics,15.465822116653472,12.4633749321758,-3.0024471844776723
Health,10.088413829506466,11.323928377645144,1.2355145481386778
Law and Crime,8.115597783056215,8.518719479110146,0.40312169605393144
International Affairs,9.85748218527316,10.119370591427021,0.26188840615386155
Government Operations,11.526788070731063,6.581660336408031,-4.945127734323033
Agriculture,6.743204011612562,8.65979381443299,1.9165898028204271
Immigration,8.366323568223805,7.965274009766684,-0.401049558457121
Domestic Commerce,6.795988387437318,6.397178513293543,-0.3988098741437751
Transportation,6.947743467933491,5.583288117200217,-1.364455350733274
Defense,6.980733702823964,6.684753119913185,-0.29598058291077933
Environment,3.490366851411982,9.137276180141074,5.646909328729091
Civil Rights,5.6215360253365,6.565382528486163,0.943846503149663
