year,emotionality_z
1999,0.20583862478277778
2000,-0.041439183135877966
2001,0.1290703135365068
2002,-0.046785574570771565
2003,-0.015548197915379518
2004,-0.00039108760989203643
2005,-0.050500578173766235
2006,-0.10710209927217343
2007,0.01061466925818346
2008,0.10368366978418964
2009,0.1435530123286315
2010,0.023440849578027827
2011,0.040495361508183635
2012,0.05577172705886572
2013,0.042782720627332016
2014,-0.029338153688697344
2015,0.0379657338992025
2016,-0.11526592148470294
2017,0.028223495812109718
2018,0.07384658418697719
2019,0.08819370193535091
2020,0.13080422926627605
2021,0.14015721298853584
2022,0.22065151978790368
2023,0.08760631911864059
2024,0.1744028768549305
2025,0.27372034435353476
