CantonName,share_pct
St. Gallen,6.197869651561653
Zug,5.528073659505326
Graubünden,5.311428055605704
Luzern,5.185051453330926
Freiburg,4.894385268098935
Thurgau,4.728290305109225
Solothurn,4.679545044231811
Bern,4.607329842931937
Glarus,4.470120960462178
Genf,4.42318107961726
Schwyz,4.271529156887524
Aargau,4.177649395197689
Zürich,4.141541794547752
Uri,3.921285430583138
Wallis,3.816573388698321
Waadt,3.740747427333454
Tessin,3.6270084852861526
Neuenburg,3.3399530601191554
Basel-Stadt,3.2189925979418668
Schaffhausen,3.1919118974544145
Jura,3.0528976349521573
Appenzell I.-Rh.,2.7694529698501533
Basel-Landschaft,2.0310525365589456
Obwalden,1.9100920743816574
Appenzell A.-Rh.,1.7277486910994764
Nidwalden,1.0362881386531864
