year,share_emotion_pct
1999,3.5211267605633805
2000,9.048178613396004
2001,10.659599528857479
2002,7.064980375054514
2003,7.2105480016481245
2004,8.56989823245849
2005,8.488278092158447
2006,6.8137061835368256
2007,6.991869918699186
2008,8.682782437099162
2009,10.11485735457577
2010,9.407305306685044
2011,9.61369622475856
2012,9.369287020109688
2013,10.40650406504065
2014,8.828911253430924
2015,8.590604026845638
2016,8.743169398907105
2017,9.764309764309765
2018,11.32665832290363
2019,10.450250138966092
2020,10.618606916707257
2021,8.09567617295308
2022,8.806963645673322
2023,11.352169525731584
2024,9.964570416297608
2025,13.881151346332404
