CAP_Topic,early_pct,late_pct,shift_pp
Agriculture,8.222222222222223,11.488673139158575,3.2664509169363516
Civil Rights,19.03409090909091,26.24113475177305,7.20704384268214
Culture,19.791666666666664,10.15625,-9.635416666666664
Defense,6.079027355623101,14.748201438848922,8.66917408322582
Domestic Commerce,6.474820143884892,6.87757909215956,0.40275894827466807
Education,7.142857142857142,5.6000000000000005,-1.5428571428571418
Energy,6.334841628959276,4.269293924466338,-2.0655477044929373
Environment,8.627450980392156,9.782608695652174,1.1551577152600174
Foreign Trade,5.755395683453238,5.263157894736842,-0.49223778871639645
Government Operations,7.366638441998306,5.970149253731343,-1.3964891882669637
Health,9.295774647887324,10.703953712632593,1.4081790647452692
Housing,3.3707865168539324,8.270676691729323,4.89989017487539
Immigration,14.887640449438203,15.650406504065039,0.7627660546268356
International Affairs,12.410071942446043,20.095693779904305,7.685621837458262
Labor,7.397260273972603,9.32642487046632,1.9291645964937176
Law and Crime,6.970128022759601,10.324825986078887,3.3546979633192855
Macroeconomics,6.451612903225806,6.171648987463838,-0.279963915761968
Public Lands,3.5294117647058822,17.857142857142858,14.327731092436975
Social Welfare,11.209439528023598,15.764705882352942,4.555266354329344
Technology,7.865168539325842,7.167235494880546,-0.6979330444452962
Transportation,13.114754098360656,7.154471544715448,-5.960282553645208
