CAP_Topic,party,share_emotion_pct
Agriculture,FDP,6.177606177606178
Agriculture,GLP,9.523809523809524
Agriculture,Grüne,25.6198347107438
Agriculture,Mitte,6.170212765957447
Agriculture,SP,13.546798029556651
Agriculture,SVP,16.985645933014354
Civil Rights,FDP,18.227848101265824
Civil Rights,GLP,12.5
Civil Rights,Grüne,28.31858407079646
Civil Rights,Mitte,20.642201834862387
Civil Rights,SP,23.929471032745592
Civil Rights,SVP,29.01234567901235
Culture,FDP,12.871287128712872
Culture,GLP,0.0
Culture,Grüne,7.6923076923076925
Culture,Mitte,8.588957055214724
Culture,SP,11.428571428571429
Culture,SVP,12.82051282051282
Defense,FDP,6.278026905829597
Defense,GLP,0.0
Defense,Grüne,17.105263157894736
Defense,Mitte,10.35031847133758
Defense,SP,15.593220338983052
Defense,SVP,11.506849315068493
Domestic Commerce,FDP,4.926624737945493
Domestic Commerce,GLP,5.88235294117647
Domestic Commerce,Grüne,14.545454545454545
Domestic Commerce,Mitte,4.522613065326634
Domestic Commerce,SP,10.725552050473187
Domestic Commerce,SVP,13.008130081300814
Education,FDP,7.219251336898395
Education,GLP,50.0
Education,Grüne,9.090909090909092
Education,Mitte,3.807615230460922
Education,SP,11.246200607902736
Education,SVP,10.95890410958904
Energy,FDP,3.90625
Energy,GLP,7.142857142857142
Energy,Grüne,17.582417582417584
Energy,Mitte,3.229813664596273
Energy,SP,10.62992125984252
Energy,SVP,7.653061224489796
Environment,FDP,5.769230769230769
Environment,GLP,10.526315789473683
Environment,Grüne,19.018404907975462
Environment,Mitte,5.48172757475083
Environment,SP,14.963503649635038
Environment,SVP,12.121212121212121
Foreign Trade,FDP,4.3478260869565215
Foreign Trade,GLP,0.0
Foreign Trade,Grüne,14.285714285714285
Foreign Trade,Mitte,2.2222222222222223
Foreign Trade,SP,10.1010101010101
Foreign Trade,SVP,18.29268292682927
Government Operations,FDP,6.211180124223603
Government Operations,GLP,9.722222222222223
Government Operations,Grüne,4.060913705583756
Government Operations,Mitte,6.434668417596848
Government Operations,SP,10.75268817204301
Government Operations,SVP,13.148148148148147
Health,FDP,8.018018018018019
Health,GLP,19.51219512195122
Health,Grüne,30.76923076923077
Health,Mitte,6.373008434864105
Health,SP,13.50253807106599
Health,SVP,13.872832369942195
Housing,FDP,3.943661971830986
Housing,GLP,10.344827586206897
Housing,Grüne,12.962962962962962
Housing,Mitte,4.212860310421286
Housing,SP,11.11111111111111
Housing,SVP,8.450704225352112
Immigration,FDP,7.254901960784315
Immigration,GLP,1.8518518518518516
Immigration,Grüne,15.573770491803279
Immigration,Mitte,8.382066276803119
Immigration,SP,21.578947368421055
Immigration,SVP,27.79552715654952
International Affairs,FDP,10.68814055636896
International Affairs,GLP,34.78260869565217
International Affairs,Grüne,34.02061855670103
International Affairs,Mitte,11.189801699716714
International Affairs,SP,19.170984455958546
International Affairs,SVP,14.713896457765669
Labor,FDP,5.958549222797927
Labor,GLP,16.666666666666664
Labor,Grüne,30.952380952380953
Labor,Mitte,5.769230769230769
Labor,SP,15.873015873015872
Labor,SVP,7.76255707762557
Law and Crime,FDP,7.346491228070176
Law and Crime,GLP,13.636363636363635
Law and Crime,Grüne,10.909090909090908
Law and Crime,Mitte,5.89159465828751
Law and Crime,SP,7.866379310344827
Law and Crime,SVP,18.26086956521739
Macroeconomics,FDP,5.818181818181818
Macroeconomics,GLP,2.564102564102564
Macroeconomics,Grüne,14.285714285714285
Macroeconomics,Mitte,4.239401496259352
Macroeconomics,SP,11.515748031496063
Macroeconomics,SVP,8.88888888888889
Public Lands,FDP,8.791208791208792
Public Lands,GLP,0.0
Public Lands,Grüne,30.0
Public Lands,Mitte,7.4074074074074066
Public Lands,SP,7.6923076923076925
Public Lands,SVP,12.76595744680851
Social Welfare,FDP,8.333333333333332
Social Welfare,GLP,12.5
Social Welfare,Grüne,25.581395348837212
Social Welfare,Mitte,9.240246406570842
Social Welfare,SP,19.94459833795014
Social Welfare,SVP,20.72538860103627
Technology,FDP,7.8431372549019605
Technology,GLP,16.666666666666664
Technology,Grüne,10.81081081081081
Technology,Mitte,4.556354916067146
Technology,SP,11.206896551724139
Technology,SVP,7.142857142857142
Transportation,FDP,8.24468085106383
Transportation,GLP,6.0
Transportation,Grüne,15.873015873015872
Transportation,Mitte,7.4643249176728865
Transportation,SP,8.775137111517367
Transportation,SVP,11.864406779661017
