year,share_emotion_pct,index_2000_100
1999,3.5211267605633805,38.91531004207061
2000,9.048178613396004,100.0
2001,10.659599528857479,117.80934024750277
2002,7.064980375054514,78.08179609313495
2003,7.2105480016481245,79.69060194029292
2004,8.56989823245849,94.71407007561267
2005,8.488278092158447,93.81200852502388
2006,6.8137061835368256,75.30472678168621
2007,6.991869918699186,77.27378312744166
2008,8.682782437099162,95.96166044118685
2009,10.11485735457577,111.7888780356361
2010,9.407305306685044,103.96904955829835
2011,9.61369622475856,106.25007126324071
2012,9.369287020109688,103.54887343004344
2013,10.40650406504065,115.01214232921551
2014,8.828911253430924,97.57666852817813
2015,8.590604026845638,94.94290943955373
2016,8.743169398907105,96.6290540061032
2017,9.764309764309765,107.91464427828066
2018,11.32665832290363,125.18163938689597
2019,10.450250138966092,115.49562166571616
2020,10.618606916707257,117.35629202750488
2021,8.09567617295308,89.47299250887106
2022,8.806963645673322,97.3341047073766
2023,11.352169525731584,125.46358787529324
2024,9.964570416297608,110.12791460089954
2025,13.881151346332404,153.41376358089448
