CAP_Topic,early_pct,late_pct,ratio
Macroeconomics,15.919500346981263,12.519618495714113,0.7864328793515273
Health,9.854267869535045,12.519618495714113,1.2704767783326787
Law and Crime,9.757113115891741,10.40685741880961,1.066591859210857
International Affairs,7.716863289382374,7.569721115537849,0.980932385565651
Government Operations,16.39139486467731,8.897742363877823,0.5428300908699383
Agriculture,6.2456627342123525,7.46106483158276,1.194599380256751
Immigration,4.941013185287995,5.939876856211518,1.202157661488876
Domestic Commerce,7.716863289382374,8.77701315948328,1.1373809319078603
Transportation,8.466342817487856,7.4248460702643975,0.8769838678074587
Defense,4.566273421235254,6.712543764336592,1.470026681521129
Environment,3.5392088827203327,6.664252082578775,1.88297789235216
Civil Rights,4.885496183206107,5.1068453458891705,1.0453074067366896
